plant_name,org_id,np_id,compound_name,inchikey,smiles,location,source_url,reference_id,source,region
Berchemia discolor,NPO401,NPC475825,Discoloranone A,RMSBRJLIIWEOOT-UHFFFAOYSA-N,O=C1c2c(O)cc3c(c2OCC1c1cc2OCOc2cc1O)C=CC(O3)(C)C,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC475790,"(2S)-3',4',5,7-Tetrahydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",SJILHXXGADEART-MNNVXMFVSA-N,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc2c(c1)C(O)C(C(O2)(C)C)O,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC128293,Amorphigenin,ZJMLELXRQUXRIU-HBGVWJBISA-N,OCC(=C)[C@@H]1Oc2c(C1)c1O[C@@H]3COc4c([C@@H]3C(=O)c1cc2)cc(c(c4)OC)OC,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC186686,"(S)-5,7,8'-Trihydroxy-2',2'-Dimethyl-5'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",DOHUWPORVBGXGM-NRFANRHFSA-N,CC(=CCc1c2C=CC(C)(C)Oc2c(cc1[C@@H]1CC(=O)c2c(cc(cc2O1)O)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC121333,Dabinol,MYQAATJJIDGOMQ-AYPBNUJASA-N,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(c(cc4[C@@]2(C3=O)O)OC)OC)O1,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC473990,"(2S)-3',5,7-Trihydroxy-8'-Methoxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",HTNJCCKJJVLCTO-BUSXIPJBSA-N,CC1(C(CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)OC)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC272502,"(S)-5,7-Dihydroxy-2-(2,2,9,9-Tetramethyl-2,9-Dihydropyrano[3,2-H]Chromen-5-Yl)Chroman-4-One",BDKFYPKEQKRWHD-IBGZPJMESA-N,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc2C=CC(Oc2c2c1C=CC(O2)(C)C)(C)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC214166,Burttinone,BOBWTYODGOYWRC-UVIRAJKCSA-N,COc1c(CC=C(C)C)cc(cc1/C=C/C(O)(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474038,"(2S)-5,7,8'-Trihydroxy-2'-(Hydroxymethyl)-2'-Methyl-2,6'-Bichroman-4-One",PNMOOGSNXGIKSQ-DJZRFWRSSA-N,CC1(C=CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)O)CO,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC473966,Sigmoidin G,OYKVSVOHAHXIEQ-UHFFFAOYSA-N,CC1(C2C(C(C(OC2=C(C(=C1C3CC(=O)C4=CC=CC=C4O3)O)O)O)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC134783,"(S)-5,7,8'-Trihydroxy-2',2'-Dimethyl-2,6'-Bichroman-4,4'-Dione",QVJWSGOMMDXZOF-INIZCTEOSA-N,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc(O)c2c(c1)C(=O)CC(O2)(C)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Carissa edulis,NPO14676,NPC51700,Ursolic Acid,WCGUUGGRBIKTOS-GPOJBZKASA-N,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](C(C)(C)[C@@H]5CC[C@@]34C)O)[C@@H]2[C@H]1C)C(=O)O,Kenya,https://pubmed.ncbi.nlm.nih.gov/18327911,18327911,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC474150,Discoloranone,UHIRAJMFBJREAS-SIHBAMTISA-N,COc1ccc(c(c1O)O)[C@H]1COc2c(C1=O)c(O)cc1c2C=CC(O1)(C)CCC=C(C)C,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC475784,"(2S)-5,7-Dihydroxy-2'-(Hydroxymethyl)-8'-Methoxy-2'-Methyl-2,6'-Bichroman-4-One",DNWBCRWFRVKNFW-BJQOMGFOSA-N,CC1(C=CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)OC)CO,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Symphonia globulifera,NPO8408,NPC289358,Guttiferone A,QKKRBNPMUBNTPA-GHCWVHGPSA-N,CC(=CC[C@]12C[C@H](CC=C(C)C)[C@@]([C@@](C2=O)(C(=O)C(=C1O)C(=O)c1ccc(c(c1)O)O)CC=C(C)C)(C)CCC=C(C)C)C,Tanzania,https://pubmed.ncbi.nlm.nih.gov/11430019,11430019,NPASS 3.0,East Africa
Trichilia rubescens,NPO29381,NPC478072,Trichirubine A,KCEMPVMLWXZZLR-ZCVPZFCJSA-N,C[C@@]12C[C@H]3[C@]4(O3)[C@]([C@@]15[C@H](O5)C[C@H]2C6=CC(OC6=O)O)(C=C7[C@@H]8[C@@]4(C(=O)C=C[C@]8(CO7)C)C)C,"Kibale National Park, Uganda",https://pubmed.ncbi.nlm.nih.gov/19299148,19299148,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC475891,Nitidulin,GRHKVSQNMXZXME-QOBPCVTDSA-N,COc1ccc(c(c1O)O)[C@H]1COc2c(C1)ccc1c2C=CC(O1)(C)CCC=C(C)C,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC223375,(3S)-Isodiscoloranone A,AOFUWUOPIXODTE-GFCCVEGCSA-N,CC1(C)C=Cc2c(cc3c(c2O)C(=O)[C@H](CO3)c2cc3c(cc2O)OCO3)O1,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474033,"(2S)-3',7,8'-Trihydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",VQRCDZLYMBXGNJ-ATNAJCNCSA-N,CC1(C(CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(O3)C=C(C=C4)O)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474023,"(2S)-3',4',5,7-Tetrahydroxy-2',2'-Dimethyl-8'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",KYGXFLIBLYFPAZ-HRRASNIPSA-N,CC(=CCC1=C2C(=CC(=C1)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C(C(C(O2)(C)C)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC159922,JEDDWGYBFZMEOV-BFUOFWGJSA-N,JEDDWGYBFZMEOV-BFUOFWGJSA-N,CC1(C)C=Cc2c3c(cc(c2O1)O)[C@@H]1[C@H](CO3)c2cc3c(cc2O1)OCO3,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC174953,Sigmoidin D,ASQDBJSRWIDYKK-RDJZCZTQSA-N,CC1(C)[C@H](Cc2cc(cc(c2O1)O)[C@@H]1CC(=O)c2c(cc(cc2O1)O)O)O,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474024,"(2S)-3',4',5,7,8'-Pentahydroxy-2',2'-Dimethyl-7'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",CNJVHHYFXJIZHZ-IYHNFFKESA-N,CC(=CCC1=C(C2=C(C=C1C3CC(=O)C4=C(C=C(C=C4O3)O)O)C(C(C(O2)(C)C)O)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC227579,Burttinonedehydrate,NCRSCUAICIRLHP-DRGXBFSJSA-N,COc1c(CC=C(C)C)cc(cc1/C=C/C(=C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474034,"(2S)-3',4',7,8'-Tetrahydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",CKBIVADBUPGTKI-DMKPSLHHSA-N,CC1(C(C(C2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(O3)C=C(C=C4)O)O)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Erythrina abyssinica,NPO8526,NPC474021,"(2S)-3',5,7-Trihydroxy-2',2'-Dimethyl-8'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",WJBWITXUNBMVLF-AIBWNMTMSA-N,CC(=CCC1=CC(=CC2=C1OC(C(C2)O)(C)C)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C,"Mukono, Uganda",https://pubmed.ncbi.nlm.nih.gov/19008110,19008110,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC92805,"(3S)-3-(2-Hydroxy-4-Methoxyphenyl)-8,8-Dimethyl-2,4-Dihydropyrano[2,3-F]Chromen-3-Ol",NHWGLCDIXCJLLD-OAQYLSRUSA-N,CC1(C)C=Cc2c(ccc3C[C@@](COc23)(c2ccc(cc2O)OC)O)O1,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Berchemia discolor,NPO401,NPC474162,(3S)-Isodiscoloranone B,BFGWTNSLVFLZPM-SIHBAMTISA-N,COc1ccc(c(c1O)O)[C@H]1COc2c(C1=O)c(O)c1c(c2)OC(C=C1)(C)CCC=C(C)C,Tanzanian,https://pubmed.ncbi.nlm.nih.gov/17125241,17125241,NPASS 3.0,East Africa
Trichilia rubescens,NPO29381,NPC478073,Trichirubine B,PFMJYSWUJIOQAK-NUHWSDSJSA-N,C[C@@]12C[C@H]3[C@@]4(O3)[C@@]5([C@H]6[C@H]([C@H]([C@]4(C1=CC[C@H]2C7=CC(OC7=O)O)C)OC(=O)C8=CC=CC=C8)OC[C@@]6(C=CC5=O)C)C,"Kibale National Park, Uganda",https://pubmed.ncbi.nlm.nih.gov/19299148,19299148,NPASS 3.0,East Africa
